rpid,点赞数量,用户,性别,等级,评论内容,发布时间
107939255984,2682,jay1313133,保密,6,最近搜狐老总张朝阳早年唱的一首歌很火。196 亲爱的那不是爱情,264天前发布
111125506752,1270,jay1313133,保密,6,推荐刘畊宏的跳操028[笑哭],239天前发布
104370480640,5290,jay1313133,保密,6,在电脑上用网页版 control+F  再写歌名，可以查找歌是否有没有被添加。,296天前发布
4989163415,3365,jay1313133,保密,6,如果有漏掉的歌，希望大家指出，争取是最全的。,517天前发布
112773219136,4108,jay1313133,保密,6,BV1J541197t9可以后台,226天前发布
4970221291,15504,og__ana,保密,5,曾经我也是正版的拥护者，直到我特么会员过期了不能听自己下载的超清歌曲！,520天前发布
5036981616,6440,账号已注销,保密,0,高情商：在你站周杰伦合集如此之多的情况下，还能在一星期之内达到四万多收藏，足以可见周杰伦对华语乐坛长期且牢固的统治力低情商：合集顶到第二，离限制后台也不远了（悲）,511天前发布
4968385303,11588,寒小冰丶,保密,6,好消息：首页来的坏消息：首页来的,520天前发布
4963115154,5106,多多的江湖行记,保密,5,在网易云你要400币才能听到限量版周杰伦全集，而这里你只要两个币[打call],521天前发布
4964247286,6961,陈陈陈皮糖_,男,5,这个可以后台播放！！！！这个可以后台播放！！！！！这个可以后台播放！！！！！！！！！！！！！！！！！,521天前发布
4965854311,13335,bilbil好,男,5,大家好，我是在各个周杰伦合集都呼吁过的人，把我顶上去，大家一定要低调[笑哭]，别的不多说[抱拳],520天前发布
4991086535,5041,barbienabi,保密,5,00后喜欢杰伦的多吗[大笑],517天前发布
5116150096,4978,jay1313133,保密,6,听取大家的意见，这两天会更新以下几首歌倒带你怎么连话都说不清楚德尔惠广告 在路上祝我生日快乐布拉格广场海盗刀马旦爱我别走麦蒸玮骑士精神,502天前发布
4974674197,2489,jay1313133,保密,6,各位Jay粉，Mojoto有版权，被迫删掉了,519天前发布
108875541584,2012,jay1313133,保密,6,周杰伦写过的歌1998--2018   BV1s64y1t7uL   感兴趣的小伙伴们可以去看看。再次说一下，周杰伦的歌都是转载的，UP没有拿到任何钱。只是方便和UP一样喜欢周杰伦的JAY迷听歌。请不要喷作为up主的我。,257天前发布
130138690112,274,jay1313133,保密,6,詹皇,100天前发布
110999821408,444,jay1313133,保密,6,  jay1313133  不强求，开心就好。UP整理也不容易，请勿喷。 ,240天前发布
4977320576,480,青桃小竹,女,6,唉这个混乱不堪充斥恶性八卦的时代，打开杰伦的视频就有种找到了安静净土的舒适感。永远怀念过去[爱心],519天前发布
133452118240,145,喆才怪,女,3,//www.bilibili.com/h5/note-app/view?cvid=19069860&pagefrom=comment&richtext=true,72天前发布
107939255984,2682,jay1313133,保密,6,最近搜狐老总张朝阳早年唱的一首歌很火。196 亲爱的那不是爱情,264天前发布
111125506752,1270,jay1313133,保密,6,推荐刘畊宏的跳操028[笑哭],239天前发布
104370480640,5290,jay1313133,保密,6,在电脑上用网页版 control+F  再写歌名，可以查找歌是否有没有被添加。,296天前发布
4989163415,3365,jay1313133,保密,6,如果有漏掉的歌，希望大家指出，争取是最全的。,517天前发布
112773219136,4108,jay1313133,保密,6,BV1J541197t9可以后台,226天前发布
4970221291,15504,og__ana,保密,5,曾经我也是正版的拥护者，直到我特么会员过期了不能听自己下载的超清歌曲！,520天前发布
5036981616,6440,账号已注销,保密,0,高情商：在你站周杰伦合集如此之多的情况下，还能在一星期之内达到四万多收藏，足以可见周杰伦对华语乐坛长期且牢固的统治力低情商：合集顶到第二，离限制后台也不远了（悲）,511天前发布
4968385303,11588,寒小冰丶,保密,6,好消息：首页来的坏消息：首页来的,520天前发布
4963115154,5106,多多的江湖行记,保密,5,在网易云你要400币才能听到限量版周杰伦全集，而这里你只要两个币[打call],521天前发布
4964247286,6961,陈陈陈皮糖_,男,5,这个可以后台播放！！！！这个可以后台播放！！！！！这个可以后台播放！！！！！！！！！！！！！！！！！,521天前发布
4965854311,13335,bilbil好,男,5,大家好，我是在各个周杰伦合集都呼吁过的人，把我顶上去，大家一定要低调[笑哭]，别的不多说[抱拳],520天前发布
4991086535,5041,barbienabi,保密,5,00后喜欢杰伦的多吗[大笑],517天前发布
5116150096,4978,jay1313133,保密,6,听取大家的意见，这两天会更新以下几首歌倒带你怎么连话都说不清楚德尔惠广告 在路上祝我生日快乐布拉格广场海盗刀马旦爱我别走麦蒸玮骑士精神,502天前发布
4974674197,2489,jay1313133,保密,6,各位Jay粉，Mojoto有版权，被迫删掉了,519天前发布
108875541584,2012,jay1313133,保密,6,周杰伦写过的歌1998--2018   BV1s64y1t7uL   感兴趣的小伙伴们可以去看看。再次说一下，周杰伦的歌都是转载的，UP没有拿到任何钱。只是方便和UP一样喜欢周杰伦的JAY迷听歌。请不要喷作为up主的我。,257天前发布
130138690112,274,jay1313133,保密,6,詹皇,100天前发布
110999821408,444,jay1313133,保密,6,  jay1313133  不强求，开心就好。UP整理也不容易，请勿喷。 ,240天前发布
4977320576,480,青桃小竹,女,6,唉这个混乱不堪充斥恶性八卦的时代，打开杰伦的视频就有种找到了安静净土的舒适感。永远怀念过去[爱心],519天前发布
