rpid,点赞数量,用户,性别,等级,评论内容,发布时间
137691452656,20365,影视飓风,男,6,只有敬佩，太牛了,40天前发布
137685137920,11622,六分超超,男,6,谢谢你，开源侠！,41天前发布
137668686592,9293,稚晖君,男,6,这个高级黑爱了[doge],41天前发布
137668864864,7114,完能1603,男,6,这就把庙里告示的字体全部换成得意黑给OMG老师刷功德🙏,41天前发布
137682324912,7585,atelierAnchor锚坞,保密,2,我们与@oooooohmygosh 共同设计开发的开源字体「得意黑」正式发布了。这是一款在人文观感和几何特征中寻找平衡的窄斜体，遵守 SIL Open Font License 1.1 开源协议。我们会长期更新维护这款字体，也有增加正体、粗体等的计划。希望我们一年多付出努力的成果能为字体社区带来一些新的源自本土的活力。「得意黑」这种风格的开源字体以前也没有过，一定会获得非常广泛的使用。但它只应该是一个起点，我们更希望看到一些真正优质的fork版本出现。,41天前发布
137667313456,4455,庄子HD,男,6,免费商用！！！！！这真的能帮助包括我在内的很多up主。,41天前发布
137667268576,1470,ココロさん,保密,4,视频里的扁桃体莫名生草[笑哭],41天前发布
137675614048,2624,我是怪异君,男,6,牛！,41天前发布
137683140720,1949,艺术与设计史,保密,6,好了 以后视频封面字体 有了新选择[妙啊],41天前发布
137667153072,1918,懒狗小黑,男,6,六蛋老师，你不知道现在的你有多酷[打call],41天前发布
137667356384,2319,虾测评,保密,6,谢谢你，ho o o o o o l y shit老师,41天前发布
137679445248,709,OOCCTTTT,男,5,太棒了[打call][打call][打call] 但是还有个请求强烈建议 元素周期表的第七周期元素名称 基本没有字体适配,41天前发布
137667648512,718,epcdiy,男,6,很好看，我考虑我以后的视频字幕用他~,41天前发布
137679632720,638,GenJi是真想教会你,保密,6,[打call]好好看！后面我可得大大给oooooo哥推荐出去！,41天前发布
137667509872,570,中医界张三,保密,6,oooooohmygosh is pioneer平淡而有味，身斜影子斜,41天前发布
137669010240,323,皮蛋粥加辣,保密,6,恭喜发布！我不信那是开水白菜，除非是我拍的。得意（表情）[藏狐],41天前发布
137679146784,548,不会翻跟斗的大笨象,保密,2,//atelier-anchor.com/typefaces/smiley-sans/字体开源...https://www.bilibili.com/h5/note-app/view?cvid=19796616&pagefrom=comment&richtext=true,41天前发布
137677057552,223,凹凸赛克,男,6,o哥牛b[热词系列_三连],41天前发布
137670434736,230,KwangtungBoy,男,6,有点日文排版中轻松简约的感觉，没有了黑体宋体循规蹈矩的板正，看了都让人身心愉悦。[打call],41天前发布
137666919344,8613,oooooohmygosh,男,6,获取「得意黑」字体：atelier-anchor.com/typefaces/smiley-sans/,41天前发布
137691452656,20365,影视飓风,男,6,只有敬佩，太牛了,40天前发布
137685137920,11622,六分超超,男,6,谢谢你，开源侠！,41天前发布
137668686592,9293,稚晖君,男,6,这个高级黑爱了[doge],41天前发布
137668864864,7114,完能1603,男,6,这就把庙里告示的字体全部换成得意黑给OMG老师刷功德🙏,41天前发布
137682324912,7585,atelierAnchor锚坞,保密,2,我们与@oooooohmygosh 共同设计开发的开源字体「得意黑」正式发布了。这是一款在人文观感和几何特征中寻找平衡的窄斜体，遵守 SIL Open Font License 1.1 开源协议。我们会长期更新维护这款字体，也有增加正体、粗体等的计划。希望我们一年多付出努力的成果能为字体社区带来一些新的源自本土的活力。「得意黑」这种风格的开源字体以前也没有过，一定会获得非常广泛的使用。但它只应该是一个起点，我们更希望看到一些真正优质的fork版本出现。,41天前发布
137667313456,4455,庄子HD,男,6,免费商用！！！！！这真的能帮助包括我在内的很多up主。,41天前发布
137667268576,1470,ココロさん,保密,4,视频里的扁桃体莫名生草[笑哭],41天前发布
137675614048,2624,我是怪异君,男,6,牛！,41天前发布
137683140720,1949,艺术与设计史,保密,6,好了 以后视频封面字体 有了新选择[妙啊],41天前发布
137667153072,1918,懒狗小黑,男,6,六蛋老师，你不知道现在的你有多酷[打call],41天前发布
137667356384,2319,虾测评,保密,6,谢谢你，ho o o o o o l y shit老师,41天前发布
137679445248,709,OOCCTTTT,男,5,太棒了[打call][打call][打call] 但是还有个请求强烈建议 元素周期表的第七周期元素名称 基本没有字体适配,41天前发布
137667648512,718,epcdiy,男,6,很好看，我考虑我以后的视频字幕用他~,41天前发布
137679632720,638,GenJi是真想教会你,保密,6,[打call]好好看！后面我可得大大给oooooo哥推荐出去！,41天前发布
137667509872,570,中医界张三,保密,6,oooooohmygosh is pioneer平淡而有味，身斜影子斜,41天前发布
137669010240,323,皮蛋粥加辣,保密,6,恭喜发布！我不信那是开水白菜，除非是我拍的。得意（表情）[藏狐],41天前发布
137679146784,548,不会翻跟斗的大笨象,保密,2,//atelier-anchor.com/typefaces/smiley-sans/字体开源...https://www.bilibili.com/h5/note-app/view?cvid=19796616&pagefrom=comment&richtext=true,41天前发布
137677057552,223,凹凸赛克,男,6,o哥牛b[热词系列_三连],41天前发布
137670434736,230,KwangtungBoy,男,6,有点日文排版中轻松简约的感觉，没有了黑体宋体循规蹈矩的板正，看了都让人身心愉悦。[打call],41天前发布
137666919344,8613,oooooohmygosh,男,6,获取「得意黑」字体：atelier-anchor.com/typefaces/smiley-sans/,41天前发布
137692208208,740,RTR集团,男,6,借楼宣传一下，我是荆南字坊的作者，目前已经推出了荆南缘默体、荆南波波黑、荆南麦圆体三款免商字体，目前正在制作一款开源宋体，预计在2023年8月发布，敬请期待。,40天前发布
